traffic_volume,3000,4500
3884.391304,VERDADERO,VERDADERO
4030.826087,VERDADERO,VERDADERO
3203.434783,VERDADERO,VERDADERO
3551.304348,VERDADERO,VERDADERO
3747.913043,VERDADERO,VERDADERO
4250.347826,VERDADERO,VERDADERO
3231.521739,VERDADERO,VERDADERO
3473.304348,VERDADERO,VERDADERO
3007.173913,VERDADERO,VERDADERO
4487.869565,VERDADERO,VERDADERO
3839.826087,VERDADERO,VERDADERO
3868.304348,VERDADERO,VERDADERO
3950.434783,VERDADERO,VERDADERO
3814.173913,VERDADERO,VERDADERO
3669.173913,VERDADERO,VERDADERO
3148.173913,VERDADERO,VERDADERO
3649.043478,VERDADERO,VERDADERO
3808.521739,VERDADERO,VERDADERO
3747.652174,VERDADERO,VERDADERO
3894.217391,VERDADERO,VERDADERO
3943.217391,VERDADERO,VERDADERO
3280.304348,VERDADERO,VERDADERO
4184.304348,VERDADERO,VERDADERO
4248.304348,VERDADERO,VERDADERO
3909.652174,VERDADERO,VERDADERO
4020.782609,VERDADERO,VERDADERO
4339.652174,VERDADERO,VERDADERO
3177.652174,VERDADERO,VERDADERO
4012.695652,VERDADERO,VERDADERO
4133.434783,VERDADERO,VERDADERO
3831.565217,VERDADERO,VERDADERO
3912.826087,VERDADERO,VERDADERO
3648.086957,VERDADERO,VERDADERO
3868.478261,VERDADERO,VERDADERO
3614.391304,VERDADERO,VERDADERO
3680.130435,VERDADERO,VERDADERO
3305.043478,VERDADERO,VERDADERO
3682.086957,VERDADERO,VERDADERO
3709.043478,VERDADERO,VERDADERO
3760.73913,VERDADERO,VERDADERO
3770.304348,VERDADERO,VERDADERO
3190.956522,VERDADERO,VERDADERO
3231.391304,VERDADERO,VERDADERO
4455.869565,VERDADERO,VERDADERO
3803.869565,VERDADERO,VERDADERO
3928.913043,VERDADERO,VERDADERO
3872.913043,VERDADERO,VERDADERO
3408.086957,VERDADERO,VERDADERO
3401.869565,VERDADERO,VERDADERO
4045.695652,VERDADERO,VERDADERO
3748.347826,VERDADERO,VERDADERO
4194.434783,VERDADERO,VERDADERO
3587.608696,VERDADERO,VERDADERO
4273.652174,VERDADERO,VERDADERO
3054.26087,VERDADERO,VERDADERO
3237.043478,VERDADERO,VERDADERO
4373.130435,VERDADERO,VERDADERO
4444.695652,VERDADERO,VERDADERO
4116.304348,VERDADERO,VERDADERO
3292.173913,VERDADERO,VERDADERO
